,rank,title,year,link
19,20,Se7en,1995,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
20,21,The Silence of the Lambs,1991,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
21,22,City of God,2002,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
22,23,Life Is Beautiful,1997,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
23,24,It's a Wonderful Life,1946,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
24,25,Star Wars: Episode IV - A New Hope,1977,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
25,26,Saving Private Ryan,1998,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
26,27,Interstellar,2014,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
27,28,Spirited Away,2001,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
28,29,The Green Mile,1999,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
